,cod_mod_anexo,ece_imputado,ind_leng_prim_imp,ind_mate_prim_imp
9402,06574520,1,0.16666667,0.16666667
9403,06575440,1,0.0,0.04761905
9404,06575850,1,0.5555556,0.5555556
9405,06576190,1,0.0,0.2
9406,06576270,1,0.8888889,0.33333334
9407,06576350,1,0.09090909,0.18181819
9408,06576500,1,0.5,0.5
9409,06576840,1,0.85714287,0.71428573
9410,06578580,1,0.33333334,0.8333334
9411,06578660,1,0.33333334,0.8333334
9412,06578740,1,0.33333334,0.6666667
9413,06579730,1,0.85714287,0.71428573
9414,06579810,1,0.75,0.75
9415,06579990,1,1.0,1.0
9416,06580390,1,1.0,1.0
9417,06580470,1,0.75,0.9166666
9418,06580620,1,1.0,1.0
9419,06580700,1,0.0,0.0
9420,06580880,1,1.0,1.0
9421,06580960,1,1.0,1.0
9422,06581040,1,1.0,1.0
9423,06581120,1,0.86885244,0.90163934
9424,06581380,1,0.8571429,0.71428573
9425,06582110,1,0.8333334,0.6666667
9426,06582290,1,0.2,0.4
9427,06582520,1,0.33333334,0.0
9428,06582600,1,0.11111111,0.16666667
9429,06582860,1,0.42857146,0.5714286
9430,06583100,1,0.11111111,0.33333334
9431,06583280,1,0.25,0.083333336
9432,06583690,1,0.5,0.1
9433,06583770,1,0.84615386,0.84615386
9434,06583930,1,0.704918,0.5483871
9435,06584010,1,0.13636364,0.13636364
9436,06585260,1,0.25925925,0.1851852
9437,06585420,1,0.6,0.6
9438,06585590,1,0.2777778,0.22222222
9439,06585750,1,0.5833334,0.25
9440,06585830,1,0.46153846,0.30769232
9441,06585910,1,0.35,0.15
9442,06586660,1,0.6,0.40000004
9443,06588070,1,0.125,0.0
9444,06588980,1,0.125,0.0
9445,06589300,1,0.5555556,0.44444445
9446,06589480,1,0.8888889,0.8888889
9447,06590780,1,0.6666667,0.5
9448,06590940,1,0.4,0.36363637
9449,06591020,1,0.25,0.25
9450,06591100,1,0.2,0.4
9451,06591690,1,0.8333333,1.0
9452,06592840,1,0.15789473,0.07017544
9453,06593000,1,1.0,1.0
9454,06593260,1,1.0,0.8888889
9455,06593590,1,0.6666667,0.44444445
9456,06600010,1,0.8,0.8
9457,06600270,1,0.87096775,0.7419355
9458,06600350,1,0.375,0.125
9459,06601340,1,0.5714286,0.42857143
9460,06601420,1,0.6363636,0.72727275
9461,06602330,1,0.8235294,0.64705884
9462,06602660,1,0.0,0.0
9463,06603080,1,0.6,0.4
9464,06603240,1,0.4,0.0
9465,06603320,1,0.0,0.0
9466,06603570,1,0.7,0.6
9467,06603730,1,0.6666667,0.5
9468,06603990,1,0.4,0.2
9469,06608860,1,0.25,0.25
9470,06609770,1,0.06666667,0.06666667
9471,06609930,1,0.7647059,0.3529412
9472,06610820,1,0.44444445,0.11111111
9473,06611240,1,0.8,0.6
9474,06611400,1,0.6923077,0.2820513
9475,06611650,1,0.33333334,0.14285715
9476,06612560,1,0.3783784,0.3783784
9477,06612720,1,0.75,0.5
9478,06612980,1,0.41666666,0.33333334
9479,06613140,1,0.8,0.6
9480,06613890,1,0.8,0.8
9481,06613970,1,0.7777778,0.7777778
9482,06614700,1,0.0,0.0
9483,06658280,1,1.0,1.0
9484,06658360,1,0.64705884,0.1764706
9485,06658440,1,0.92857146,1.0
9486,06660160,1,0.6666667,0.5
9487,06660240,1,1.0,1.0
