,cod_mod_anexo,ece_imputado,ind_leng_sec_imp,ind_mate_sec_imp
160,11021930,1,0.4,0.6
161,11058650,1,0.8333333,1.0
162,11246190,1,0.75409836,0.8852459
163,11253010,1,0.5833333,0.41666666
164,11265640,1,0.5,0.8333334
165,11266550,1,1.0,0.85714287
166,11266890,1,0.6,1.0
167,11266970,1,0.8,0.8
168,11267390,1,0.6666667,0.6666667
169,11269780,1,0.2,0.4
170,11270590,1,0.61538464,0.53846157
171,11271660,1,0.6,1.0
172,11272160,1,0.14285715,0.5714286
173,11272570,1,0.6666667,0.5
174,11273310,1,0.54545456,0.54545456
175,11273720,1,0.8,0.8
176,11274140,1,0.6666667,1.0
177,11274550,1,0.14285715,0.5714286
178,11370820,1,0.90909094,1.0
179,11450690,1,1.0,0.8
180,11452260,1,1.0,1.0
181,11455980,1,0.6,0.8
182,11458790,1,0.6666667,0.47619048
183,11470650,1,1.0,1.0
184,11480550,1,0.95238096,0.9904762
185,11480710,1,1.0,1.0
186,11499470,1,1.0,1.0
187,11500280,1,1.0,1.0
188,11505800,1,1.0,1.0
189,11506630,1,1.0,1.0
190,11548480,1,1.0,1.0
191,11573040,1,0.8235294,0.88235295
192,11573460,1,0.5,0.4090909
193,11597970,1,0.8333334,0.8333333
194,11600430,1,0.6,0.6
195,11601260,1,0.42857143,0.71428573
196,11606050,1,0.9166667,1.0
197,11611810,1,0.54545456,0.8181818
198,11613890,1,0.93333334,0.93333334
199,11664950,1,0.925,0.75
200,11665290,1,0.46666667,0.5555556
201,11678400,1,0.35135135,0.4864865
202,11896950,1,0.85714287,0.85714287
203,11897370,1,0.75,0.75
204,11898510,1,0.65217394,0.6086956
205,12026050,1,0.57894737,0.42105263
206,12066480,1,0.625,0.8125
207,12111430,1,0.375,0.375
208,12111840,1,0.8888889,0.962963
209,12151360,1,0.6,1.0
210,12166130,1,0.6,0.8
211,12224960,1,0.80487806,0.5121951
212,12315050,1,1.0,1.0
213,12445320,1,0.8,0.8
214,12534910,1,0.875,0.875
215,12601240,1,1.0,1.0
216,12618170,1,1.0,1.0
217,12619730,1,1.0,1.0
218,12758410,1,1.0,1.0
219,13064140,1,1.0,1.0
220,13082380,1,0.5,0.5
221,13113070,1,0.54545456,0.54545456
222,13184920,1,1.0,1.0
223,13196150,1,1.0,0.6666667
224,13203990,1,0.54545456,0.54545456
225,13207870,1,0.703125,0.734375
226,13249950,1,1.0,1.0
227,13250670,1,1.0,1.0
228,13322610,1,0.75,0.75
229,13328730,1,1.0,0.75
230,13442660,1,0.875,0.8125
231,13467900,1,0.64772725,0.5909091
232,13510060,1,0.54545456,0.54545456
233,13536060,1,1.0,1.0
234,13538530,1,0.6,0.8
235,13538870,1,0.5,0.5
236,13545130,1,0.9230769,0.9230769
237,13555100,1,0.8666667,0.6666667
238,13575240,1,1.0,1.0
239,13611870,1,0.25,0.4166667
240,13627890,1,0.6792453,0.8
241,13640580,1,1.0,0.85714287
242,13646290,1,1.0,1.0
243,13662440,1,0.63461536,0.58653843
244,13671430,1,0.7297297,0.8108108
245,13695290,1,0.0,0.33333334
246,13695780,1,0.32967034,0.43956044
247,13705500,1,1.0,0.9
248,13717150,1,0.5,0.5
249,13717230,1,0.5,0.5
250,13722180,1,0.36868685,0.47474748
251,13728610,1,1.0,0.85714287
252,13728790,1,0.78571427,0.7619048
253,13735960,1,1.0,0.85714287
254,13736040,1,1.0,1.0
